contrast,path length,mass,BMR,ln mass
c159,2.300000,24.879398,7.758707,0.299218
c160,2.900000,5.136092,9.749783,0.037956
c161,4.800000,-77.373664,-41.890578,-0.503239
c162,4.800000,-22.277058,-10.785693,-0.111300
c163,18.200000,-6.865159,3.790951,-0.025364
c164,5.400000,131.681434,52.758640,0.241728
c165,14.100000,-97.763480,-41.168935,-0.355372
c166,19.800000,-12.306817,-2.155800,0.024173
c167,44.100000,-32.166498,-19.308692,-0.236440
c168,15.400000,-296.105018,-83.454728,-0.091581
c169,11.700000,-596.954543,-309.267593,-0.319029
c170,11.600000,-258.376897,-105.523473,-0.231572
c171,6.800000,-8095.085336,-1942.570038,-1.023943
c172,32.500000,1655.810940,422.830914,0.435767
c173,33.600000,531.094991,181.529989,0.330390
c174,19.200000,-805.573949,-129.852849,-0.029926
c175,35.700000,328.228233,126.574662,-0.057895
c176,11.600000,-8.338527,-0.146805,-0.018949
c177,18.200000,-351.759938,-102.961296,-0.335652
c178,32.400000,-405.298587,-68.568721,-0.368421
c179,8.600000,-0.988892,-4.023767,-0.005662
c180,6.300000,-10.784728,-4.884949,-0.056805
c181,11.400000,7.108187,-5.834636,0.057504
c182,4.600000,20.304205,23.303031,0.133130
c183,11.000000,1.296337,4.932255,0.001736
c184,12.200000,21.685299,17.203797,0.196365
c185,11.400000,-9.788565,-7.164460,-0.049433
c186,6.500000,25.026351,0.325400,0.107786
c187,21.500000,-18.052487,-9.794377,-0.113457
c188,8.400000,271.907241,53.225050,0.366607
c189,28.700000,70.507014,28.874732,0.156097
c190,3.400000,873.617636,266.024857,0.364937
c191,14.100000,-505.344411,-153.842775,-0.420838
c192,46.100000,-6.649755,-1.589785,-0.125551
c193,4.800000,-3.651484,15.290588,-0.014254
c194,9.200000,742.285869,156.516331,0.724511
c195,2.800000,43.207514,10.577773,0.214760
c196,3.800000,25.715117,6.528953,0.139663
c197,5.000000,-377.417324,-133.393562,-0.745294
c198,11.600000,-96.734539,-32.195952,-0.183279
c199,2.100000,331.356154,70.226931,0.351506
c200,11.500000,-90.470384,-78.851958,-0.230550
c201,10.000000,-7.241616,-3.921224,-0.024581
c202,3.750000,38.880925,34.560822,0.086600
c203,7.750000,49.639370,31.372765,0.167293
c204,0.700000,215.986457,31.206297,0.149731
c205,15.800000,108.713196,30.612646,0.275057
c206,20.400000,4.250951,5.601514,0.100311
c207,25.600000,7.995296,4.701523,0.132187
c208,22.600000,63.106369,19.282100,0.255001
c209,26.600000,28.889861,17.781806,0.182896
c210,27.500000,49.710803,18.182518,0.189210
c211,22.800000,-2.777086,-2.824031,0.023595
c212,14.600000,-8.939000,-8.502904,-0.142381
c213,46.200000,30.380790,26.779232,0.216557
c214,28.700000,13.113666,-1.075859,0.033672
c215,23.200000,-6.103843,-5.373043,-0.118029
c216,94.900000,15.945864,9.232627,0.101098
c217,10.000000,252.807695,75.890701,0.122500
c218,5.600000,281.436367,580.959035,0.102357
c219,12.800000,-351.618491,-194.889525,-0.171364
c220,41.800000,-176.006168,-157.791678,-0.109504
c221,70.200000,-22.837022,-67.603739,-0.218675
c222,35.100000,-337.579789,69.541437,-0.035667
c223,45.550000,-3866.740191,-851.496893,-0.188841
c224,12.000000,-58.803125,-18.821619,-0.244351
c225,15.400000,70.439082,34.409427,0.202563
c226,16.300000,-77.158156,-41.645866,-0.171088
c227,25.000000,-96.382650,-43.529661,-0.155321
c228,36.200000,2768.736051,730.221044,0.446558
c229,125.300000,1020.201600,278.684119,0.296757
c230,50.000000,-35.143207,-16.222444,-0.249213
c231,42.600000,-30.182932,-50.161888,-0.012435
c232,30.900000,-306.418618,-52.511126,-0.404186
c233,78.600000,-135.299420,-115.230678,-0.165781
c234,42.500000,-155.847286,-27.457347,-0.233333
c235,52.750000,13.315175,15.010976,0.049068
c236,28.000000,-17.764330,-20.995926,-0.079046
c237,17.000000,-32.659863,-16.278901,-0.242525
c238,16.500000,-165.411854,-63.291848,-0.398025
c239,18.000000,-25.507697,4.431275,0.015463
c240,26.000000,71.538475,9.960121,0.157098
c241,38.800000,129.878245,53.404977,0.082175
c242,21.300000,725.713041,186.053673,0.038763
c243,51.600000,8.770325,4.593980,0.057573
c244,37.600000,-13.649792,-9.414135,-0.136101
c245,64.300000,434.338570,123.266915,0.209833
c246,3.100000,-322.275115,-66.564715,-0.108638
c247,44.600000,26713.292571,3352.967432,0.364834
c248,33.000000,-5168.365605,-498.732484,-0.151011
c249,19.900000,-4081.492365,-1200.887952,-0.105292
c250,14.900000,10931.126788,612.575598,0.062824
c251,27.900000,6124.812815,571.040402,0.040420
